^N225
Date,Time,Open,High,Low,Close
2026-05-28,09:00,64770.76171875,64948.53125,64673.83984375,64688.1484375
2026-05-28,09:05,64655.94921875,64774.3515625,64498.6015625,64774.3515625
2026-05-28,09:10,64769.3203125,64771.44921875,64535.9296875,64535.9296875
2026-05-28,09:15,64509.23046875,64650.8984375,64508.91015625,64604.51171875
2026-05-28,09:20,64599.921875,64811.91015625,64531.62890625,64717.71875
2026-05-28,09:25,64692.73046875,64718.578125,64585.328125,64585.328125
2026-05-28,09:30,64594.03125,64600.6796875,64468.55859375,64543.1796875
2026-05-28,09:35,64534.16015625,64661.3515625,64494.41015625,64654.58984375
2026-05-28,09:40,64655.12890625,64837.5,64655.12890625,64831.01953125
2026-05-28,09:45,64836.83984375,64957.33984375,64836.83984375,64937.6484375
2026-05-28,09:50,64958.16015625,65014.6796875,64916.51953125,64967.46875
2026-05-28,09:55,64955.03125,65165.75,64937.41015625,65129.8984375
2026-05-28,10:00,65126.23046875,65150.48046875,64878.5,64951.578125
2026-05-28,10:05,64961.91015625,64961.91015625,64852.6015625,64863.2890625
2026-05-28,10:10,64869.3203125,64964.62109375,64869.3203125,64960.1015625
2026-05-28,10:15,64958.640625,64960.1015625,64863.921875,64895.5703125
2026-05-28,10:20,64903.62890625,64957.78125,64845.62890625,64950.78125
2026-05-28,10:25,64945.33984375,64972.6484375,64881.25,64972.44140625
2026-05-28,10:30,64970.48828125,64970.48828125,64852.140625,64926.2890625
2026-05-28,10:35,64931.1484375,64944.359375,64852.171875,64917.75
2026-05-28,10:40,64908.6796875,64927.83984375,64855.30859375,64879.2890625
2026-05-28,10:45,64880.421875,64890.08984375,64797.01171875,64878.1796875
2026-05-28,10:50,64877.62890625,64973.87109375,64849.25,64921.37109375
2026-05-28,10:55,64935.1015625,65095.9609375,64924.3515625,65070.578125
2026-05-28,11:00,65070.94140625,65127.98046875,65016.46875,65038.4296875
2026-05-28,11:05,65034.91015625,65112.0703125,64985.578125,64996.62109375
2026-05-28,11:10,65002.359375,65048.69140625,64958.73046875,64980.62890625
2026-05-28,11:15,64986.05078125,65019.80859375,64953.4609375,64993.51171875
2026-05-28,11:20,64994.0,65120.76953125,64994.0,65110.01171875
2026-05-28,11:25,65116.9609375,65155.05078125,65050.48828125,65050.48828125
2026-05-28,11:30,65047.76953125,65047.76953125,65039.78125,65039.78125
2026-05-28,12:30,64571.5390625,64625.94140625,64396.48046875,64398.25
2026-05-28,12:35,64382.80859375,64437.859375,64100.6796875,64134.37109375
2026-05-28,12:40,64120.55078125,64270.4609375,64092.0390625,64207.25
2026-05-28,12:45,64196.62109375,64376.69921875,64152.08984375,64363.8984375
2026-05-28,12:50,64366.3203125,64366.3203125,64200.05859375,64343.2109375
2026-05-28,12:55,64346.5703125,64346.5703125,64205.98046875,64228.30859375
2026-05-28,13:00,64220.44921875,64220.44921875,64070.921875,64132.25
2026-05-28,13:05,64119.3203125,64172.8203125,64045.26953125,64113.12109375
2026-05-28,13:10,64132.921875,64175.51953125,63939.48046875,64000.9296875
2026-05-28,13:15,63981.0390625,64011.28125,63938.6484375,63958.3515625
2026-05-28,13:20,63943.890625,63973.2109375,63911.1796875,63924.890625
2026-05-28,13:25,63922.26953125,63972.08984375,63875.0390625,63948.23828125
2026-05-28,13:30,63943.91015625,64052.640625,63919.7109375,64013.609375
2026-05-28,13:35,64018.5703125,64178.73828125,64018.5703125,64133.6484375
2026-05-28,13:40,64119.390625,64189.1484375,64071.69921875,64071.69921875
2026-05-28,13:45,64066.171875,64069.73828125,63922.62890625,63925.30078125
2026-05-28,13:50,63925.78125,63990.671875,63910.5,63950.2109375
2026-05-28,13:55,63956.8203125,64057.0390625,63943.671875,63979.328125
2026-05-28,14:00,63981.83984375,64032.66015625,63935.98046875,64002.73828125
2026-05-28,14:05,64003.87890625,64105.37890625,63972.75,64075.44921875
2026-05-28,14:10,64084.3203125,64229.44140625,64068.8203125,64229.44140625
2026-05-28,14:15,64231.23828125,64248.828125,64161.12109375,64232.80859375
2026-05-28,14:20,64236.98046875,64367.6796875,64206.16015625,64367.6796875
2026-05-28,14:25,64365.30078125,64423.12890625,64363.9609375,64423.12890625
2026-05-28,14:30,64429.55859375,64647.671875,64429.55859375,64645.6484375
2026-05-28,14:35,64650.12109375,64654.44140625,64565.75,64610.6796875
2026-05-28,14:40,64613.921875,64685.1796875,64608.55859375,64641.9296875
2026-05-28,14:45,64646.0,64680.37890625,64608.87109375,64615.48046875
2026-05-28,14:50,64615.828125,64615.828125,64549.140625,64555.71875
2026-05-28,14:55,64555.140625,64578.80078125,64537.71875,64567.6015625
2026-05-28,15:00,64565.7890625,64616.62109375,64537.0,64579.359375
2026-05-28,15:05,64570.12109375,64628.609375,64568.83984375,64612.01171875
2026-05-28,15:10,64615.55859375,64670.421875,64608.9609375,64657.94140625
2026-05-28,15:15,64651.23828125,64703.23828125,64651.23828125,64678.58984375
2026-05-28,15:20,64681.30859375,64723.01171875,64664.48046875,64714.8203125
2026-05-28,15:25,64711.12109375,64711.12109375,64711.12109375,64711.12109375
2026-05-28,15:30,64693.12109375,64693.12109375,64693.12109375,64693.12109375
2026-05-29,09:00,65133.96875,65636.03125,65133.96875,65636.03125
2026-05-29,09:05,65619.703125,65941.5625,65604.1875,65840.75
2026-05-29,09:10,65847.4765625,65982.8828125,65842.7265625,65972.3203125
2026-05-29,09:15,65949.6328125,66041.828125,65876.78125,65918.359375
2026-05-29,09:20,65942.421875,65955.90625,65779.3515625,65953.5390625
2026-05-29,09:25,65959.171875,66024.5078125,65907.546875,65907.546875
2026-05-29,09:30,65907.6875,65919.3671875,65694.96875,65749.6328125
2026-05-29,09:35,65741.6015625,65819.6171875,65662.96875,65800.8671875
2026-05-29,09:40,65804.3125,65804.3125,65622.15625,65730.34375
2026-05-29,09:45,65729.9765625,65767.3984375,65667.1328125,65745.828125
2026-05-29,09:50,65758.8984375,65788.4765625,65665.796875,65688.4375
2026-05-29,09:55,65672.84375,65734.75,65661.4609375,65699.109375
2026-05-29,10:00,65700.6875,65826.78125,65681.5390625,65792.9921875
2026-05-29,10:05,65787.859375,65953.203125,65754.0625,65917.2890625
2026-05-29,10:10,65923.078125,65990.1484375,65816.5625,65881.59375
2026-05-29,10:15,65884.4375,66016.921875,65869.59375,66010.171875
2026-05-29,10:20,66016.546875,66041.546875,65894.4375,65942.7578125
2026-05-29,10:25,65947.046875,65947.046875,65789.390625,65798.5
2026-05-29,10:30,65793.390625,65831.703125,65739.96875,65815.5703125
2026-05-29,10:35,65811.7421875,65920.8203125,65788.59375,65880.328125
2026-05-29,10:40,65902.4921875,65959.1171875,65880.828125,65931.0625
2026-05-29,10:45,65932.53125,65975.6171875,65783.8671875,65801.8515625
2026-05-29,10:50,65778.15625,65860.078125,65735.1171875,65847.8515625
2026-05-29,10:55,65851.8203125,65911.3984375,65832.046875,65887.6484375
2026-05-29,11:00,65873.078125,65902.4375,65796.9375,65852.0703125
2026-05-29,11:05,65849.703125,65925.5234375,65814.9609375,65906.1328125
2026-05-29,11:10,65908.75,65937.5703125,65878.546875,65900.828125
2026-05-29,11:15,65903.5,66010.4296875,65894.3125,65993.2421875
2026-05-29,11:20,65988.3515625,66017.6015625,65939.6171875,65952.34375
2026-05-29,11:25,65951.09375,65993.1328125,65886.578125,65897.2265625
2026-05-29,11:30,65882.4765625,65896.5703125,65882.4765625,65896.5703125
2026-05-29,12:30,66097.5625,66158.65625,66061.75,66145.4296875
2026-05-29,12:35,66128.828125,66133.453125,66034.0703125,66113.6015625
2026-05-29,12:40,66110.7421875,66178.578125,66083.7890625,66105.59375
2026-05-29,12:45,66102.03125,66201.9921875,66102.03125,66184.921875
2026-05-29,12:50,66191.921875,66195.640625,66088.5234375,66189.6875
2026-05-29,12:55,66188.828125,66200.90625,66141.5703125,66144.2734375
2026-05-29,13:00,66140.0,66196.3125,66138.75,66167.859375
2026-05-29,13:05,66178.3203125,66283.1484375,66174.8828125,66258.46875
2026-05-29,13:10,66275.546875,66333.1796875,66245.6328125,66321.046875
2026-05-29,13:15,66317.9765625,66368.9296875,66315.78125,66364.7421875
2026-05-29,13:20,66359.7265625,66371.640625,66324.4609375,66367.6015625
2026-05-29,13:25,66371.28125,66411.90625,66357.65625,66406.0703125
2026-05-29,13:30,66404.8984375,66417.15625,66364.796875,66384.1484375
2026-05-29,13:35,66380.859375,66406.3671875,66358.921875,66365.5390625
2026-05-29,13:40,66371.1875,66404.75,66295.5703125,66301.2265625
2026-05-29,13:45,66307.65625,66325.046875,66238.203125,66317.1171875
2026-05-29,13:50,66312.2734375,66312.2734375,66243.6171875,66310.359375
2026-05-29,13:55,66315.40625,66322.6328125,66274.15625,66305.109375
2026-05-29,14:00,66304.421875,66449.4765625,66295.9765625,66425.5390625
2026-05-29,14:05,66427.890625,66427.890625,66344.0625,66380.171875
2026-05-29,14:10,66379.6171875,66379.7890625,66289.4765625,66357.5703125
2026-05-29,14:15,66358.7734375,66371.9765625,66331.9765625,66355.609375
2026-05-29,14:20,66362.4765625,66396.3515625,66353.2734375,66353.2734375
2026-05-29,14:25,66361.5078125,66392.4609375,66332.78125,66376.2578125
2026-05-29,14:30,66376.3984375,66418.8828125,66341.3984375,66417.046875
2026-05-29,14:35,66415.9609375,66442.578125,66343.5390625,66356.296875
2026-05-29,14:40,66361.2265625,66430.6796875,66361.2265625,66420.7734375
2026-05-29,14:45,66421.828125,66457.7734375,66411.4609375,66414.7265625
2026-05-29,14:50,66416.6484375,66473.1328125,66416.6484375,66470.4375
2026-05-29,14:55,66453.6328125,66457.5,66405.8203125,66429.53125
2026-05-29,15:00,66429.3984375,66503.2578125,66426.203125,66500.34375
2026-05-29,15:05,66485.4765625,66505.0234375,66369.3515625,66385.3203125
2026-05-29,15:10,66387.640625,66450.953125,66342.0078125,66423.796875
2026-05-29,15:15,66425.7734375,66425.7734375,66345.7734375,66373.9765625
2026-05-29,15:20,66371.2265625,66430.578125,66362.296875,66362.296875
2026-05-29,15:25,66362.671875,66362.671875,66362.671875,66362.671875
2026-05-29,15:30,66329.5,66329.5,66329.5,66329.5
2026-06-01,09:00,66363.4296875,66715.7578125,66244.84375,66715.7578125
2026-06-01,09:05,66709.9375,66823.359375,66514.3671875,66613.6875
2026-06-01,09:10,66615.9921875,66670.890625,66426.8828125,66612.359375
2026-06-01,09:15,66621.1328125,66657.2265625,66542.953125,66582.859375
2026-06-01,09:20,66622.03125,66632.8984375,66418.25,66506.53125
2026-06-01,09:25,66493.21875,66590.796875,66382.5078125,66550.9375
2026-06-01,09:30,66560.609375,66677.3125,66518.0078125,66645.4765625
2026-06-01,09:35,66634.3515625,66744.0625,66586.28125,66701.4296875
2026-06-01,09:40,66718.2734375,66919.1796875,66718.2734375,66799.7109375
2026-06-01,09:45,66819.5703125,66957.609375,66819.5703125,66868.84375
2026-06-01,09:50,66842.4921875,66892.6875,66732.171875,66745.6328125
2026-06-01,09:55,66746.8984375,66855.4765625,66732.7578125,66810.3671875
2026-06-01,10:00,66815.3828125,66899.7421875,66781.0078125,66896.953125
2026-06-01,10:05,66901.046875,66985.2421875,66871.75,66953.7109375
2026-06-01,10:10,66930.90625,67050.4296875,66930.90625,67043.203125
2026-06-01,10:15,67048.328125,67048.328125,66952.0234375,67034.6875
2026-06-01,10:20,67042.3203125,67168.4765625,67042.3203125,67129.78125
2026-06-01,10:25,67157.359375,67231.28125,67083.890625,67102.890625
2026-06-01,10:30,67101.953125,67128.15625,67054.0234375,67075.140625
2026-06-01,10:35,67075.2578125,67092.6484375,66951.7421875,66991.859375
2026-06-01,10:40,67000.078125,67091.7890625,66973.09375,66973.09375
2026-06-01,10:45,66963.46875,67012.140625,66937.296875,67005.4375
2026-06-01,10:50,67001.3515625,67038.4921875,66931.3828125,67021.9609375
2026-06-01,10:55,67031.0078125,67053.1328125,67002.2890625,67039.2890625
2026-06-01,11:00,67037.703125,67051.7890625,66990.953125,66995.53125
2026-06-01,11:05,66996.546875,67014.3203125,66957.84375,67000.2109375
2026-06-01,11:10,67007.65625,67083.21875,66978.578125,67051.0703125
2026-06-01,11:15,67050.71875,67055.1171875,66914.796875,66945.4296875
2026-06-01,11:20,66960.7890625,67069.8671875,66931.1484375,67064.109375
2026-06-01,11:25,67067.6015625,67070.0234375,67016.953125,67044.890625
2026-06-01,11:30,67019.2109375,67038.2421875,67019.2109375,67038.2421875
2026-06-01,12:30,67006.7578125,67119.109375,66985.828125,67067.0703125
2026-06-01,12:35,67078.8984375,67086.328125,66890.09375,66905.3984375
