^N225
Date,Open,High,Low,Close
2024-08-21,37653.33984375,38026.01953125,37605.828125,37951.80078125
2024-08-22,38033.78125,38408.19140625,37883.859375,38211.01171875
2024-08-23,38278.1796875,38424.26953125,38053.46875,38364.26953125
2024-08-26,38156.41015625,38204.80859375,37825.30859375,38110.21875
2024-08-27,38066.30859375,38365.640625,37911.3203125,38288.62109375
2024-08-28,38221.37890625,38399.91015625,38141.48828125,38371.76171875
2024-08-29,38119.94921875,38401.1484375,37970.19921875,38362.53125
2024-08-30,38388.0390625,38669.7890625,38316.87109375,38647.75
2024-09-02,39025.30859375,39080.640625,38476.51171875,38700.87109375
2024-09-03,38745.76171875,38967.55859375,38581.55078125,38686.30859375
2024-09-04,38039.91015625,38080.01953125,36879.328125,37047.609375
2024-09-05,36536.25,37099.9609375,36359.23046875,36657.08984375
2024-09-06,36815.0,36898.28125,36235.609375,36391.46875
2024-09-09,35805.8203125,36248.12109375,35247.87109375,36215.75
2024-09-10,36386.12109375,36537.03125,36001.578125,36159.16015625
2024-09-11,36029.8984375,36056.87109375,35253.4296875,35619.76953125
2024-09-12,36185.62109375,36902.2109375,36172.26171875,36833.26953125
2024-09-13,36882.41015625,36887.3984375,36441.33984375,36581.76171875
2024-09-17,36601.9296875,36663.1796875,35828.5390625,36203.21875
2024-09-18,36546.0390625,36675.0703125,36127.44921875,36380.171875
2024-09-19,36958.9296875,37394.51953125,36958.9296875,37155.328125
2024-09-20,37714.0703125,37974.71875,37654.109375,37723.91015625
2024-09-24,38171.359375,38427.1484375,37902.98828125,37940.58984375
2024-09-25,37947.3515625,38109.23828125,37868.83984375,37870.26171875
2024-09-26,38266.7890625,38925.62890625,38240.6484375,38925.62890625
2024-09-27,39108.26953125,39829.55859375,38917.98046875,39829.55859375
2024-09-30,39117.828125,39126.359375,37797.91015625,37919.55078125
2024-10-01,38232.46875,38718.12890625,38232.46875,38651.96875
2024-10-02,38136.19921875,38213.5390625,37651.0703125,37808.76171875
2024-10-03,38459.12890625,38856.75,38457.62109375,38552.05859375
2024-10-04,38594.73046875,38735.2890625,38501.8203125,38635.62109375
2024-10-07,39239.921875,39560.78125,39195.9296875,39332.73828125
2024-10-08,39021.12890625,39117.08984375,38817.5390625,38937.5390625
2024-10-09,39385.48828125,39456.28125,39115.62890625,39277.9609375
2024-10-10,39575.80078125,39616.58984375,39282.19140625,39380.890625
2024-10-11,39636.87109375,39668.9296875,39415.26171875,39605.80078125
2024-10-15,40047.1484375,40257.33984375,39910.55078125,39910.55078125
2024-10-16,39362.62890625,39362.62890625,39062.8515625,39180.30078125
2024-10-17,39263.8203125,39299.73828125,38911.19140625,38911.19140625
2024-10-18,39092.46875,39186.640625,38893.51953125,38981.75
2024-10-21,38960.19921875,39119.671875,38775.58984375,38954.6015625
2024-10-22,38933.6015625,38995.03125,38200.8203125,38411.9609375
2024-10-23,38397.28125,38514.328125,37987.62109375,38104.859375
2024-10-24,37804.51953125,38320.390625,37712.19140625,38143.2890625
2024-10-25,37954.78125,38028.140625,37713.0,37913.921875
2024-10-28,37757.94921875,38740.171875,37757.94921875,38605.53125
2024-10-29,38524.30078125,38903.6796875,38416.8515625,38903.6796875
2024-10-30,39102.890625,39417.87890625,39094.30078125,39277.390625
2024-10-31,39179.71875,39249.2109375,38832.2109375,39081.25
2024-11-01,38504.3515625,38512.828125,37946.66015625,38053.671875
2024-11-05,38274.21875,38620.19140625,38159.73046875,38474.8984375
2024-11-06,38677.94921875,39664.53125,38662.171875,39480.671875
2024-11-07,39745.23046875,39884.01171875,39020.21875,39381.41015625
2024-11-08,39783.44921875,39818.41015625,39377.87109375,39500.37109375
2024-11-11,39417.2109375,39598.73828125,39315.609375,39533.3203125
2024-11-12,39642.78125,39866.71875,39137.890625,39376.08984375
2024-11-13,39317.1484375,39377.23828125,38600.26171875,38721.66015625
2024-11-14,38911.0390625,39084.44140625,38535.69921875,38535.69921875
2024-11-15,38749.55859375,39101.640625,38642.91015625,38642.91015625
2024-11-18,38259.58984375,38548.30078125,38150.390625,38220.8515625
2024-11-19,38396.71875,38560.1015625,38246.359375,38414.4296875
2024-11-20,38475.69921875,38520.44921875,38180.1484375,38352.33984375
2024-11-21,38352.87109375,38374.69140625,37945.2109375,38026.171875
2024-11-22,38146.98046875,38420.62890625,38085.12890625,38283.8515625
2024-11-25,38679.9296875,39053.640625,38672.171875,38780.140625
2024-11-26,38596.76171875,38596.76171875,38020.078125,38442.0
2024-11-27,38327.859375,38332.44921875,37988.98828125,38134.96875
2024-11-28,37935.94140625,38478.3203125,37801.62109375,38349.05859375
2024-11-29,38205.078125,38270.05859375,37986.96875,38208.03125
2024-12-02,38216.94921875,38552.41015625,37958.55078125,38513.01953125
2024-12-03,38748.6484375,39427.37109375,38746.05078125,39248.859375
2024-12-04,39354.0,39417.078125,39062.03125,39276.390625
2024-12-05,39610.4296875,39632.30078125,39323.0390625,39395.6015625
2024-12-06,39371.55859375,39468.46875,38940.44140625,39091.171875
2024-12-09,39332.55078125,39332.55078125,38972.78125,39160.5
2024-12-10,39375.48828125,39465.140625,39171.69140625,39367.578125
2024-12-11,39357.76953125,39401.9296875,39112.80078125,39372.23046875
2024-12-12,39849.96875,40091.55078125,39827.58984375,39849.140625
2024-12-13,39624.05078125,39734.98828125,39247.41015625,39470.44140625
2024-12-16,39551.21875,39632.171875,39371.421875,39457.48828125
2024-12-17,39589.6484375,39796.21875,39364.6796875,39364.6796875
2024-12-18,39176.87890625,39382.69140625,39081.7109375,39081.7109375
2024-12-19,38522.26953125,38913.0703125,38355.51953125,38813.578125
2024-12-20,38950.28125,39039.6796875,38701.8984375,38701.8984375
2024-12-23,39040.71875,39210.171875,38847.12890625,39161.33984375
2024-12-24,39210.23046875,39245.75,38995.76171875,39036.8515625
2024-12-25,39168.51953125,39180.58984375,38927.16015625,39130.4296875
2024-12-26,39129.30859375,39592.28125,39110.921875,39568.05859375
2024-12-27,39672.1484375,40398.23046875,39669.390625,40281.16015625
2024-12-30,40325.78125,40325.78125,39864.4609375,39894.5390625
2025-01-06,39945.421875,39993.5,39232.78125,39307.05078125
2025-01-07,39584.359375,40288.80078125,39584.359375,40083.30078125
2025-01-08,39879.359375,40105.71875,39705.80859375,39981.05859375
2025-01-09,39888.91015625,39930.0703125,39385.05078125,39605.08984375
2025-01-10,39550.25,39591.4609375,39166.05078125,39190.3984375
2025-01-14,39010.9609375,39054.3515625,38305.91015625,38474.30078125
2025-01-15,38721.609375,38774.98828125,38316.01171875,38444.578125
2025-01-16,38732.6484375,38932.5390625,38426.19921875,38572.6015625
2025-01-17,38454.1015625,38503.94140625,38055.6796875,38451.4609375
2025-01-20,38671.76953125,39032.9296875,38671.76953125,38902.5
2025-01-21,39163.53125,39238.2109375,38643.83984375,39027.98046875
2025-01-22,39355.21875,39694.5703125,39332.62890625,39646.25
2025-01-23,39810.05859375,40036.0703125,39677.21875,39958.87109375
2025-01-24,40060.48828125,40279.7890625,39806.69140625,39931.98046875
2025-01-27,40127.73828125,40255.6796875,39520.7890625,39565.80078125
2025-01-28,39400.01953125,39448.55078125,38886.05078125,39016.87109375
2025-01-29,39273.80078125,39448.23828125,39129.140625,39414.78125
2025-01-30,39302.8515625,39600.9296875,39221.359375,39513.96875
2025-01-31,39574.37890625,39681.8203125,39458.94921875,39572.48828125
2025-02-03,38932.66015625,38948.609375,38401.8203125,38520.08984375
2025-02-04,39078.66015625,39192.51171875,38590.9609375,38798.37109375
2025-02-05,38979.2109375,39118.94921875,38682.1796875,38831.48046875
2025-02-06,38977.578125,39190.12890625,38851.51171875,39066.53125
2025-02-07,38907.76171875,39007.94140625,38753.19921875,38787.01953125
2025-02-10,38736.37109375,38895.73828125,38606.3203125,38801.171875
